algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
DFS_Base,0.09270000009564683,1.4765625,10,True,1,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Base,0.04129999433644116,0.703125,10,True,2,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Base,0.03740000101970509,0.703125,10,True,3,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Base,0.037099998735357076,0.703125,10,True,4,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Base,0.036900004488416016,0.703125,10,True,5,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Base,0.03229999856557697,0.6328125,10,True,1,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Base,0.02660000609466806,0.6328125,10,True,2,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Base,0.02680000034160912,0.6328125,10,True,3,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Base,0.025300003471784294,0.6328125,10,True,4,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Base,0.025699999241624027,0.6328125,10,True,5,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Base,0.04400000034365803,0.671875,10,True,1,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Base,0.039200000173877925,0.671875,10,True,2,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Base,0.03619999915827066,0.671875,10,True,3,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Base,0.03619999915827066,0.671875,10,True,4,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Base,0.03560000186553225,0.671875,10,True,5,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
BFS_Base,0.031100003980100155,0.6015625,10,True,1,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
